"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="3008","大立光","市","04/03","","2490","0","0","279","695","2490","2495","2495","2475","0.8","18.6","2.01","    ","    ","    ","    ","    "
="3017","奇鋐","市","04/03","","546","+13","+2.44","16,799","9,229","533","524","565","523","7.88","38.7","9.5","    ","    ","    ","    ","    "
="3019","亞光","市","04/03","","65","+0.3","+0.46","590","38.1","64.7","64.6","65","64","1.55","23.4","1.45","    ","    ","    ","    ","    "
="3034","聯詠","市","04/03","","596","+2","+0.34","1,834","1,088","594","588","597","586","1.85","15.6","5.4","    ","    ","    ","    ","    "
="3035","智原","市","04/03","","345","-2.5","-0.72","5,510","1,886","347.5","343","347.5","338","2.73","54","8.99","    ","    ","    ","    ","    "
="3036","文曄","市","04/03","","140.5","-1.5","-1.06","17,606","2,531","142","145","150","140.5","6.69","33.1","2.13","    ","    ","    ","    ","    "
="3037","欣興","市","04/03","","192","-1.5","-0.78","7,896","1,516","193.5","191.5","194","189","2.58","24.4","3.23","    ","    ","    ","    ","    "
="3042","晶技","市","04/03","","109.5","-1","-0.9","2,567","281","110.5","110","111","108","2.71","19.8","2.86","    ","    ","    ","    ","    "
="3044","健鼎","市","04/03","","213","+0.5","+0.24","3,629","778","212.5","210","217.5","209.5","3.76","18.5","2.57","    ","    ","    ","    ","    "
="3045","台灣大","市","04/03","","103","-1","-0.96","5,994","620","104","103","104","102.5","1.44","23.8","3.67","    ","    ","    ","    ","    "
="3189","景碩","市","04/03","","102","-1","-0.97","1,944","199","103","102","103.5","101.5","1.94","927","1.46","    ","    ","    ","    ","    "
="3231","緯創","市","04/03","","129.5","+4.5","+3.6","196,356","25,311","125","123.5","133","122.5","8.4","31.7","3.56","    ","    ","    ","    ","    "
="3376","新日興","市","04/03","","176","+2","+1.15","5,916","1,045","174","172.5","181","171.5","5.46","40.9","2.12","    ","    ","    ","    ","    "
="3380","明泰","市","04/03","","35.7","-0.65","-1.79","1,508","54","36.35","36.35","36.35","35.6","2.06","35.3","1.93","    ","    ","    ","    ","    "
="3406","玉晶光","市","04/03","","474","-10.5","-2.17","2,304","1,107","484.5","483","494.5","472","4.64","17.4","2.53","    ","    ","    ","    ","    "
="3443","創意","市","04/03","","1385","+10","+0.73","2,443","3,386","1375","1380","1410","1365","3.27","52.9","19.2","    ","    ","    ","    ","    "
="3481","群創","市","04/03","","14.7","-0.5","-3.29","76,159","1,126","15.2","15.1","15.1","14.65","2.96","","0.58","    ","    ","    ","    ","    "
="3532","台勝科","市","04/03","","170","+2","+1.19","858","145","168","167","170","166.5","2.08","19.1","2.59","    ","    ","    ","    ","    "
="3533","嘉澤","市","04/03","","1520","+55","+3.75","1,385","2,072","1465","1450","1540","1440","6.83","30","6.09","    ","    ","    ","    ","    "
="3653","健策","市","04/03","","930","+37","+4.14","1,523","1,409","893","895","936","890","5.15","56.1","11.4","    ","    ","    ","    ","    "
="3673","TPK-KY","市","04/03","","39.1","+0.5","+1.3","7,049","277","38.6","38.8","39.85","38.75","2.85","76.7","0.43","    ","    ","    ","    ","    "
